No,Company Name(Required),Website Address,Company Number(Add second phone number after semicolon),Company Number Type(Add second phone type after semicolon),Company Email(Add second email  after semicolon),Company Email Type(Add second phone type after semicolon),fax_no,Vendor Type,Business Type,Lead Source,Client Salutation Name,Client First Name(Required),Client Last Name,Linkedin URL,Client Designation,Client Phone(Add second phone number after semicolon),Client Phone Type(Add second phone type after semicolon),Client Mail(Add second email after semicolon),Client Email Type(Add second email type after semicolon),House No,Street Name,"Address Line 2(Don't use comma(,) in any column)",City/County,State,Country,Zip Code,Time Zone
1,Aber5,www.Aber5.com,3000055000;5055000000,Mobile;Landline,sdff@gmail.com;mn@gmail.com,Work;Other,355355,Fixed,Web Design,Phone,Mrs.,ronal5,patel,www.linkedin.com,Manager,1800550501;2355535555,Mobile;Landline,ronal5@gmail.com,Work,1, Aber street_name,Aber address_line_2,Sydney ,New South Wales,AUS,232323,EST
2,Aber5,,,,,,,,,,Mr.,megh5,shah,www.linkedin.com,Emp,3555555535,Landline,megh5@gmail.com;m5@gmail.com,Work;Home,,,,,,,,
3,Aber5,,,,,,,,,,Mrs.,royn5,joy,www.linkedin.com,Manager,8558895999,Mobile,royn5@gmail.com,Home,,,,,,,,
5,Banco5,www.banco5.com,3000005501;5000055001,Landline;Mobile,ban5co@gmail.com;mlj@gmail.com,Work;Account,353535,Retail,Marketing,Email,Mrs.,naman5,patel,www.linkedin.com,Emp,2552235333,Landline,naman5@gmail.com,Work,2,Banco street_name,Banco address_line_2,hilo,Hawaii,USA,3523325,EST
5,Banco5,,,,,,,,,,Mrs.,ronak5,bhatt,www.linkedin.com,Manager,1355555353;2222252552,Landline;Mobile,ronak5@gmail.com,Home,,,,,,,,
6,Barclays5,www.barclays5.com,3005500000;5000055000,Landline;Mobile,kkfk@gmail.com;khj@gmail.com,Work;Other,355355,Fixed,Web Design,Web site,Mrs.,mona5,sheth,www.linkedin.com,Manager,1800555501;2353535555,Mobile;Landline,mona5@gmail.com,Work,1,Barclays street_name,Barclays address_line_2,Sydney ,New South Wales,AUS,232323,EST
7,Barclays5,,,,,,,,,,Mr.,roshan5,rohit,www.linkedin.com,Emp,3555555535,Landline,roshan5@gmail.com;rr5@gmail.com,Work;Home,,,,,,,,
8,Barclays5,,,,,,,,,,Mrs.,dharmesh5,zaa,www.linkedin.com,Manager,8885595999,Mobile,dharmesh5@gmail.com,Home,,,,,,,,
9,Orbin5,www.orbin5.com,3000005501,Other,5origin@gmail.com,Other,353535,Retail,Marketing,Other,Mrs.,riman5,tailer,www.linkedin.com,Emp,2225553333,Landline,riman5@gmail.com,Work,2,Orbin street_name,Orbin address_line_2,hilo,Hawaii,USA,3523325,EST
10,Orbin5,,,,,,,,,,Mrs.,soman5,joy,www.linkedin.com,Manager,1353555553;2255225522,Landline;Mobile,soman5@gmail.com,Home,,,,,,,,
11,Buenos5,www.newOrbin5.com,,,,,353535,Retail,Marketing,Existing Customer,Mrs.,bhavik5,patel,www.linkedin.com,Emp,,,,,2,Buenos street_name,Buenos address_line_2,hilo,Hawaii,USA,3523325,EST
