No,Company Name(Required),Website Address,Company Number(Add second phone number after semicolon),Company Number Type(Add second phone type after semicolon),Company Email(Add second email  after semicolon),Company Email Type(Add second phone type after semicolon),fax_no,Vendor Type,Business Type,Lead Source,Client Salutation Name,Client First Name(Required),Client Last Name,Linkedin URL,Client Designation,Client Phone(Add second phone number after semicolon),Client Phone Type(Add second phone type after semicolon),Client Mail(Add second email after semicolon),Client Email Type(Add second email type after semicolon),House No,Street Name,"Address Line 2(Don't use comma(,) in any column)",City/County,State,Country,Zip Code,Time Zone
1,Able Screen Printing,,4153783894,Landline,ablemerch@gmail.com,Other,,,Printing,,,,,,,,,,,737,Huron Ave,,San Francisco,CA,USA,94112,PST
2,CTA Apparel Printing,https://sjscreenprinting.com/,6504409428,Landline,,,,,Screen Printing,,Mr.,Nick,,,,,,nick@sjscreenprinting.com,Work,1068,Park Ave,,AveSan Jose,CA,USA,95126,PST
3,Island Print Express Inc.,http://islandprintexpress.com/,5102639420,Landline,office@islandprintexpress.com;info@islandprintexpress.com;creative@islandprintexpress.com;orders@islandprintexpress.com;islandprintexpress@gmail com,Work;Other,,,Graphic Design;Screen Printing;Embroidery,,Mr.,Joe,Dalipe,https://www.linkedin.com/in/joe-dalipe-40aa3285/,Owner,,,,,1422,Park Ave,,Alameda,CA,USA,94501,PST
4,Spartan Screen Printing,https://www.spartanscreenprinting.com/,4082874700,Landline,info@spartanscreenprinting.com;spartansjc@gmail.com,Work;Other,,,PRINTING;EMBROIDERY;SIGNAGE,,Mr.,Mike,Swick,,Owner,,,,,1701,S 7th St,,San Jose,CA,USA,95112,PST
5,East Bay Screenprinting,http://www.eastbayscreenprinting.com/,8667560062;5108680218;9252628245,Landline;Mobile,sales@eastbayscreenprinting.com,Work,,,Screenprint,,,,,,,,,,,2355,Whitman Rd,suite d,Concord,CA,USA,94518,PST
6,Litho-Process Co.,https://lithoprocess.com/,5108641253,Landline,info@lithoprocess.com;lithoprocess@att.net,Work;Other,5108641254,,ScreenPrinting;GraphicDesign,,Mr.,Walter,Mccauley,,President,,,,,1818,Park Street,,Alameda,CA,USA,94501,PST
,Litho-Process Co.,,,,,,,,,,,Jerry Lynn,De Castro,,Chief Executive Officer,,,,,,,,,,,,
7,Stitches By Baker,http://www.stitchesbybaker.com,5109177366,Landline,sales@stitchesbybaker.com,Work,,,Screen Printing;Embroidery,,Mr.,Debra,Baker,,Owner,,,debra@stitchesbybaker.com,Work,1627,8th St,,Alameda,CA,USA,94501,PST
8,Silkscreen Customs,http://www.silkscreencustoms.com,4082058000,Landline,tonyfavorito@comcast.net,Other,,,Printing,,Mr.,Tony,Favorito,https://www.linkedin.com/in/tony-favorito-1050a538/,Owner,,,,,518,Cypress Ave.,,San Jose,CA,USA,95117,PST
9,USG Custom Screen Printing Graphics & Signs,https://usg-graphics.com,9255166895;9255842499,Landline;Mobile,u.s.g.graphics@gmail.com;gearclub@pacbell.net,Work;Other,,,Screen Printing;Embroidery,,Mr.,Tony,Russomanno,https://www.linkedin.com/in/tony-russomanno-29954433/,Owner,,,,,8130,Brentwood Blvd,,Brentwood,CA,USA,94513,PST
