no,company_name(Required),website_address,Companynumber(Add second phone number after semicolon),Companyemail(Add second email  after semicolon),vendor_type,industry,type_business,Client_Salutation_Name,Client_First_Name(Required),Client_Last_Name,Linkedin URL,Client_Designation,Client_Phone(Add second phone number after semicolon),Client_Phone_Type(Add second phone type after semicolon),Client_Mail(Add second email after semicolon),Client_Email_Type(Add second email type after semicolon),house_no,street_name,"address_line_2(Don't use comma(,) in any column)",City/County,State,Country,zip_code,time_zone,fax_no,link_address
1,Aber  ,www.Aber.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
2,Aber  ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
3,Aber  ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
4,Banco  ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
5,Banco  ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
6,Barclays  ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
7,Barclays  ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
8,Barclays  ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
9,Bradner  ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
10,Bradner  ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
11,Brascan  ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
12,Brascan  ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
13,Brascan  ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
14,Buenos ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
15,Buenos ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
16,CalciTech  ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
17,CalciTech ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
18,CalciTech ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
19,Celanese ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
20,Celanese ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
21,CNH ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
22,CNH ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
23,CNH ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
24,Consortium ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
25,Consortium ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
26,Cream ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
27,Cream ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
28,Cream ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
29,Datawave ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
30,Datawave ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
31,Deswell ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
32,Deswell ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
33,Deswell ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
34,Eimo ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
35,Eimo ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
36,Ekabel ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
37,Ekabel ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
38,Ekabel ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
39,Emco ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
40,Emco ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
41,Equity ,www.newAccel.com,3000000000;4000000000,newAccel@gmail.com;abc@gmail.com,Fixed,Computer,Web Design,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,newAccel street_name,newAccel address_line_2,Sydney ,New South Wales,AUS,232323,EST,345345,newAccelinfo
42,Equity ,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,,,
43,Equity ,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,,,
44,Fantom ,www.newOrbin.com,3000000001;4000000001,newOrbin@gmail.com;xyz@gmail.com,Retail,Computer,Marketing,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Alcatel street_name,Alcatel address_line_2,hilo,Hawaii,USA,3423324,EST,343434,Alcatelinfo
45,Fantom ,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,,,
