No,Company Name(Required),Website Address,Company Number(Add second phone number after semicolon),Company Number Type(Add second phone type after semicolon),Company Email(Add second email  after semicolon),Company Email Type(Add second phone type after semicolon),fax_no,Vendor Type,Business Type,Lead Source,Client Salutation Name,Client First Name(Required),Client Last Name,Linkedin URL,Client Designation,Client Phone(Add second phone number after semicolon),Client Phone Type(Add second phone type after semicolon),Client Mail(Add second email after semicolon),Client Email Type(Add second email type after semicolon),House No,Street Name,"Address Line 2(Don't use comma(,) in any column)",City/County,State,Country,Zip Code,Time Zone
1,Aber1,www.Aber.com,3000000000;4000000000,Mobile;Landline,aber@gmail.com;abc@gmail.com,Work;Work,345345,Fixed,Web Design,Phone,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1, Aber street_name,Aber address_line_2,Sydney ,New South Wales,AUS,232323,EST
2,Aber1,,,,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,
3,Aber1,,,,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,
4,Banco1,www.banco.com,3000000001;4000000001,Landline;Mobile,banco@gmail.com;xyz@gmail.com,Work;Other,343434,Retail,Marketing,Email,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Banco street_name,Banco address_line_2,hilo,Hawaii,USA,3423324,EST
5,Banco1,,,,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,
6,Barclays1,www.barclays.com,3000000000;4000000000,Landline;Mobile,barclays@gmail.com;abc@gmail.com,Work;Other,345345,Fixed,Web Design,Web site,Mrs.,newForapple ,Mont,www.linkedin.com,Manager,1800160401;2343434545,Mobile;Landline,newForapple@gmail.com,Work,1,Barclays street_name,Barclays address_line_2,Sydney ,New South Wales,AUS,232323,EST
7,Barclays1,,,,,,,,,,Mr.,newGarston ,Telgh,www.linkedin.com,Emp,3454345434,Landline,newGarston@gmail.com;newGarston123@gmail.com,Work;Home,,,,,,,,
8,Barclays1,,,,,,,,,,Mrs.,newChurche ,newWarde,www.linkedin.com,Manager,8888899999,Mobile,newChurche@gmail.com,Home,,,,,,,,
9,Orbin1,www.orbin.com,3000000001,Mobile,orbin@gmail.com,Other,343434,Retail,Marketing,Other,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,2222233333,Landline,newWarde@gmail.com,Work,2,Orbin street_name,Orbin address_line_2,hilo,Hawaii,USA,3423324,EST
10,Orbin1,,,,,,,,,,Mrs.,newStubb,newForapple ,www.linkedin.com,Manager,1343434343;2222222222,Landline;Mobile,newStubb@gmail.com,Home,,,,,,,,
11,Buenos1,www.newOrbin.com,,,,,343434,Retail,Marketing,Existing Customer,Mrs.,newWarde,newChurche ,www.linkedin.com,Emp,,,,,2,Buenos street_name,Buenos address_line_2,hilo,Hawaii,USA,3423324,EST
