No,Company Name(Required),Website Address,Company Number(Add second phone number after semicolon),Company Number Type(Add second phone type after semicolon),Company Email(Add second email  after semicolon),Company Email Type(Add second phone type after semicolon),fax_no,Vendor Type,Business Type,Lead Source,Client Salutation Name,Client First Name(Required),Client Last Name,Linkedin URL,Client Designation,Client Phone(Add second phone number after semicolon),Client Phone Type(Add second phone type after semicolon),Client Mail(Add second email after semicolon),Client Email Type(Add second email type after semicolon),House No,Street Name,"Address Line 2(Don't use comma(,) in any column)",City/County,State,Country,Zip Code,Time Zone
1,Aber4,www.Aber4.com,3000044000;4044000000,Mobile;Landline,ab4er@gmail.com;abc4@gmail.com,Work;Other,345345,Fixed,Web Design,Phone,Mrs.,ronal,patel,www.linkedin.com,Manager,1800460401;2344434545,Mobile;Landline,ronal4@gmail.com,Work,1, Aber street_name,Aber address_line_2,Sydney ,New South Wales,AUS,232323,EST
2,Aber4,,,,,,,,,,Mr.,megh,shah,www.linkedin.com,Emp,3454445434,Landline,megh4@gmail.com;m4@gmail.com,Work;Home,,,,,,,,
3,Aber4,,,,,,,,,,Mrs.,royn,joy,www.linkedin.com,Manager,8888894999,Mobile,royn4@gmail.com,Home,,,,,,,,
4,Banco4,www.banco4.com,3000004401;4000044001,Landline;Mobile,ban4co@gmail.com;xy4z@gmail.com,Work;Account,343434,Retail,Marketing,Email,Mrs.,naman,patel,www.linkedin.com,Emp,2222234333,Landline,naman4@gmail.com,Work,2,Banco street_name,Banco address_line_2,hilo,Hawaii,USA,3423324,EST
5,Banco4,,,,,,,,,,Mrs.,ronak,bhatt,www.linkedin.com,Manager,1344434343;2222242222,Landline;Mobile,ronak4@gmail.com,Home,,,,,,,,
6,Barclays4,www.barclays4.com,3004400000;4000044000,Landline;Mobile,barc4lays@gmail.com;ab4c@gmail.com,Work;Other,345345,Fixed,Web Design,Web site,Mrs.,mona,sheth,www.linkedin.com,Manager,1800164401;2343434445,Mobile;Landline,mona4@gmail.com,Work,1,Barclays street_name,Barclays address_line_2,Sydney ,New South Wales,AUS,232323,EST
7,Barclays4,,,,,,,,,,Mr.,roshan,rohit,www.linkedin.com,Emp,3444345434,Landline,roshan4@gmail.com;rr4@gmail.com,Work;Home,,,,,,,,
8,Barclays4,,,,,,,,,,Mrs.,dharmesh,zaa,www.linkedin.com,Manager,8888894999,Mobile,dharmesh4@gmail.com,Home,,,,,,,,
9,Orbin4,www.orbin4.com,3000004401,Other,4orbin@gmail.com,Other,343434,Retail,Marketing,Other,Mrs.,riman,tailer,www.linkedin.com,Emp,2222243333,Landline,riman4@gmail.com,Work,2,Orbin street_name,Orbin address_line_2,hilo,Hawaii,USA,3423324,EST
10,Orbin4,,,,,,,,,,Mrs.,soman,joy,www.linkedin.com,Manager,1343444343;2222224422,Landline;Mobile,soman4@gmail.com,Home,,,,,,,,
11,Buenos4,www.newOrbin4.com,,,,Other,343434,Retail,Marketing,Existing Customer,Mrs.,bhavik,patel,www.linkedin.com,Emp,,,,,2,Buenos street_name,Buenos address_line_2,hilo,Hawaii,USA,3423324,EST
